sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Control)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Partitions (Valid)","Partitions (Positive)","Partitions (Negative)","Threshold","Volume per well [µl]","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"211223_Theda_humanContam","bccfd09e-939e-4ceb-ac5d-6f7fada3faaa","Nanoplate 8.5K 96-well","A1","T1","Sample","16s 18s","16s","-","-","15628.2","-","5.7%","-","-","7952","7905","47","52.91","2.794","-","-","-","-","-"
"","","","A1","T1","Sample","16s 18s","18s","-","-","16.13","-","30.2%","-","-","7952","42","7910","80.96","2.794","-","-","-","-","-"
"","","","A2","T1","Sample","16s 18s","16s","-","-","17658.4","-","6.8%","-","-","8231","8203","28","40.16","2.739","-","-","-","-","-"
"","","","A2","T1","Sample","16s 18s","18s","-","-","12.86","-","33.6%","-","-","8230","34","8196","81.60","2.739","-","-","-","-","-"
"","","","A3","T2","Sample","16s 18s","16s","-","-","19105.7","-","8.1%","-","-","8281","8263","18","54.83","2.731","-","-","-","-","-"
"","","","A3","T2","Sample","16s 18s","18s","-","-","63.87","-","15.1%","-","-","8281","168","8113","74.59","2.731","-","-","-","-","-"
"","","","A4","T2","Sample","16s 18s","16s","-","-","20108.5","-","9.5%","-","-","8135","8122","13","52.91","2.725","-","-","-","-","-"
"","","","A4","T2","Sample","16s 18s","18s","-","-","58.14","-","16.0%","-","-","8133","150","7983","74.59","2.725","-","-","-","-","-"
"","","","A5","T3","Sample","16s 18s","16s","-","-","19127.7","-","8.1%","-","-","8265","8247","18","36.98","2.727","-","-","-","-","-"
"","","","A5","T3","Sample","16s 18s","18s","-","-","1060.2","-","4.0%","-","-","8214","2366","5848","43.99","2.727","-","-","-","-","-"
"","","","A6","T3","Sample","16s 18s","16s","-","-","14167.8","-","4.7%","-","-","8289","8203","86","43.99","2.744","-","-","-","-","-"
"","","","A6","T3","Sample","16s 18s","18s","-","-","776.8","-","4.6%","-","-","8237","1825","6412","45.26","2.744","-","-","-","-","-"
"","","","A7","T4","Sample","16s 18s","16s","-","-","726.9","-","4.8%","-","-","8254","1691","6563","42.71","2.684","-","-","-","-","-"
"","","","A7","T4","Sample","16s 18s","18s","-","-","1252.2","-","3.8%","-","-","8171","2666","5505","58.01","2.684","-","-","-","-","-"
"","","","A8","T4","Sample","16s 18s","16s","-","-","655.5","-","5.0%","-","-","8185","1560","6625","40.80","2.745","-","-","-","-","-"
"","","","A8","T4","Sample","16s 18s","18s","-","-","1135.0","-","4.0%","-","-","7933","2432","5501","52.91","2.745","-","-","-","-","-"
"","","","A9","T5","Sample","16s 18s","16s","-","-","4667.8","-","3.2%","-","-","5702","4432","1270","46.54","2.738","-","-","-","-","-"
"","","","A9","T5","Sample","16s 18s","18s","-","-","897.1","-","4.8%","-","-","6677","1674","5003","49.09","2.738","-","-","-","-","-"
"","","","A10","T5","Sample","16s 18s","16s","-","-","3757.2","-","2.9%","-","-","7450","5217","2233","43.99","2.729","-","-","-","-","-"
"","","","A10","T5","Sample","16s 18s","18s","-","-","755.2","-","4.7%","-","-","8197","1763","6434","46.54","2.729","-","-","-","-","-"
"","","","A11","T6","Sample","16s 18s","16s","-","-","11643.2","-","3.8%","-","-","8251","8063","188","33.79","2.764","-","-","-","-","-"
"","","","A11","T6","Sample","16s 18s","18s","-","-","817.0","-","4.6%","-","-","7702","1795","5907","44.63","2.764","-","-","-","-","-"
"","","","A12","T6","Sample","16s 18s","16s","-","-","12277.2","-","4.0%","-","-","8232","8080","152","44.63","2.767","-","-","-","-","-"
"","","","A12","T6","Sample","16s 18s","18s","-","-","762.8","-","4.8%","-","-","7712","1694","6018","45.26","2.767","-","-","-","-","-"
"","","","B1","T7","Sample","16s 18s","16s","-","-","14752.9","-","4.9%","-","-","8250","8177","73","45.26","2.727","-","-","-","-","-"
"","","","B1","T7","Sample","16s 18s","18s","-","-","149.5","-","10.0%","-","-","8250","386","7864","69.49","2.727","-","-","-","-","-"
"","","","B2","T7","Sample","16s 18s","16s","-","-","14529.9","-","4.8%","-","-","8275","8195","80","52.91","2.717","-","-","-","-","-"
"","","","B2","T7","Sample","16s 18s","18s","-","-","184.4","-","9.0%","-","-","8275","473","7802","66.94","2.717","-","-","-","-","-"
"","","","B3","T1","Sample","16s 18s","16s","-","-","19963.7","-","8.6%","-","-","8284","8268","16","28.69","2.664","-","-","-","-","-"
"","","","B3","T1","Sample","16s 18s","18s","-","-","27.11","-","23.4%","-","-","8282","70","8212","66.94","2.664","-","-","-","-","-"
"","","","B4","T1","Sample","16s 18s","16s","-","-","21609.5","-","10.8%","-","-","8280","8270","10","29.33","2.646","-","-","-","-","-"
"","","","B4","T1","Sample","16s 18s","18s","-","-","43.41","-","18.6%","-","-","8280","111","8169","63.11","2.646","-","-","-","-","-"
"","","","B5","T2","Sample","16s 18s","16s","-","-","22062.6","-","11.4%","-","-","8295","8286","9","42.71","2.633","-","-","-","-","-"
"","","","B5","T2","Sample","16s 18s","18s","-","-","329.1","-","6.9%","-","-","8295","803","7492","64.39","2.633","-","-","-","-","-"
"","","","B6","T2","Sample","16s 18s","16s","-","-","22003.1","-","11.4%","-","-","8271","8262","9","35.06","2.639","-","-","-","-","-"
"","","","B6","T2","Sample","16s 18s","18s","-","-","291.7","-","7.3%","-","-","8268","715","7553","61.84","2.639","-","-","-","-","-"
"","","","B7","T3","Sample","16s 18s","16s","-","-","21954.0","-","11.4%","-","-","8273","8264","9","33.79","2.645","-","-","-","-","-"
"","","","B7","T3","Sample","16s 18s","18s","-","-","1043.3","-","4.3%","-","-","7619","2110","5509","64.39","2.645","-","-","-","-","-"
"","","","B8","T3","Sample","16s 18s","16s","-","-","21090.2","-","9.4%","-","-","8274","8261","13","54.83","2.605","-","-","-","-","-"
"","","","B8","T3","Sample","16s 18s","18s","-","-","1496.5","-","4.7%","-","-","4827","1774","3053","61.84","2.605","-","-","-","-","-"
"","","","B9","T4","Sample","16s 18s","16s","-","-","2260.8","-","3.5%","-","-","6550","3313","3237","39.53","2.653","-","-","-","-","-"
"","","","B9","T4","Sample","16s 18s","18s","-","-","4936.6","-","3.2%","-","-","5960","4681","1279","49.09","2.653","-","-","-","-","-"
"","","","B10","T4","Sample","16s 18s","16s","-","-","2731.7","-","2.9%","-","-","8264","4725","3539","44.63","2.642","-","-","-","-","-"
"","","","B10","T4","Sample","16s 18s","18s","-","-","5691.3","-","2.7%","-","-","8264","6852","1412","69.49","2.642","-","-","-","-","-"
"","","","B11","T5","Sample","16s 18s","16s","-","-","16245.6","-","5.5%","-","-","8277","8226","51","32.51","2.666","-","-","-","-","-"
"","","","B11","T5","Sample","16s 18s","18s","-","-","2477.9","-","3.2%","-","-","7459","4027","3432","69.49","2.666","-","-","-","-","-"
"","","","B12","T5","Sample","16s 18s","16s","-","-","12971.5","-","4.3%","-","-","7669","7550","119","46.54","2.733","-","-","-","-","-"
"","","","B12","T5","Sample","16s 18s","18s","-","-","2084.7","-","3.4%","-","-","6979","3406","3573","73.31","2.733","-","-","-","-","-"
"","","","C1","T6","Sample","16s 18s","16s","-","-","14239.0","-","4.7%","-","-","8285","8199","86","49.09","2.73","-","-","-","-","-"
"","","","C1","T6","Sample","16s 18s","18s","-","-","1785.7","-","3.3%","-","-","8285","3613","4672","61.84","2.73","-","-","-","-","-"
"","","","C2","T6","Sample","16s 18s","16s","-","-","12779.9","-","4.0%","-","-","8257","8107","150","63.11","2.669","-","-","-","-","-"
"","","","C2","T6","Sample","16s 18s","18s","-","-","1904.2","-","4.1%","-","-","5204","2340","2864","61.84","2.669","-","-","-","-","-"
"","","","C3","T7","Sample","16s 18s","16s","-","-","18388.7","-","6.7%","-","-","8267","8238","29","52.91","2.616","-","-","-","-","-"
"","","","C3","T7","Sample","16s 18s","18s","-","-","654.6","-","5.1%","-","-","8235","1501","6734","59.29","2.616","-","-","-","-","-"
"","","","C4","T7","Sample","16s 18s","16s","-","-","18313.4","-","6.8%","-","-","8266","8238","28","58.01","2.643","-","-","-","-","-"
"","","","C4","T7","Sample","16s 18s","18s","-","-","584.9","-","5.5%","-","-","7615","1265","6350","58.01","2.643","-","-","-","-","-"
"","","","C5","T1","Sample","16s 18s","16s","-","-","0","-","-","-","-","8285","0","8285","117.56","2.605","-","-","-","-","-"
"","","","C5","T1","Sample","16s 18s","18s","-","-","26.13","-","24.1%","-","-","8285","66","8219","72.68","2.605","-","-","-","-","-"
"","","","C6","T1","Sample","16s 18s","16s","-","-","20949.3","-","8.8%","-","-","8266","8251","15","33.15","2.564","-","-","-","-","-"
"","","","C6","T1","Sample","16s 18s","18s","-","-","27.01","-","23.9%","-","-","8266","67","8199","65.03","2.564","-","-","-","-","-"
"","","","C7","T2","Sample","16s 18s","16s","-","-","0","-","-","-","-","8291","0","8291","116.28","2.59","-","-","-","-","-"
"","","","C7","T2","Sample","16s 18s","18s","-","-","152.9","-","10.1%","-","-","8291","377","7914","70.76","2.59","-","-","-","-","-"
"","","","C8","T2","Sample","16s 18s","16s","-","-","0","-","-","-","-","8270","0","8270","121.38","2.583","-","-","-","-","-"
"","","","C8","T2","Sample","16s 18s","18s","-","-","128.0","-","11.0%","-","-","8268","315","7953","65.66","2.583","-","-","-","-","-"
"","","","C9","T3","Sample","16s 18s","16s","-","-","20558.8","-","9.1%","-","-","8261","8247","14","49.73","2.641","-","-","-","-","-"
"","","","C9","T3","Sample","16s 18s","18s","-","-","612.9","-","5.2%","-","-","8233","1426","6807","64.39","2.641","-","-","-","-","-"
"","","","C10","T3","Sample","16s 18s","16s","-","-","0","-","-","-","-","8269","0","8269","120.11","2.622","-","-","-","-","-"
"","","","C10","T3","Sample","16s 18s","18s","-","-","559.3","-","5.4%","-","-","8257","1307","6950","59.29","2.622","-","-","-","-","-"
"","","","C11","T4","Sample","16s 18s","16s","-","-","1494.6","-","4.2%","-","-","6057","2250","3807","43.99","2.644","-","-","-","-","-"
"","","","C11","T4","Sample","16s 18s","18s","-","-","2699.7","-","3.5%","-","-","5844","3318","2526","47.81","2.644","-","-","-","-","-"
"","","","C12","T4","Sample","16s 18s","16s","-","-","1495.5","-","3.6%","-","-","8179","3107","5072","43.99","2.719","-","-","-","-","-"
"","","","C12","T4","Sample","16s 18s","18s","-","-","2302.2","-","3.1%","-","-","8261","4302","3959","69.49","2.719","-","-","-","-","-"
"","","","D1","T5","Sample","16s 18s","16s","-","-","8869.7","-","3.1%","-","-","8277","7795","482","52.28","2.728","-","-","-","-","-"
"","","","D1","T5","Sample","16s 18s","18s","-","-","1497.1","-","3.5%","-","-","8175","3116","5059","60.56","2.728","-","-","-","-","-"
"","","","D2","T5","Sample","16s 18s","16s","-","-","7626.3","-","3.2%","-","-","6352","5760","592","43.99","2.648","-","-","-","-","-"
"","","","D2","T5","Sample","16s 18s","18s","-","-","1737.6","-","3.5%","-","-","7492","3129","4363","38.89","2.648","-","-","-","-","-"
"","","","D3","T6","Sample","16s 18s","16s","-","-","20726.0","-","9.1%","-","-","8267","8253","14","36.34","2.62","-","-","-","-","-"
"","","","D3","T6","Sample","16s 18s","18s","-","-","1111.0","-","4.0%","-","-","8226","2383","5843","60.56","2.62","-","-","-","-","-"
"","","","D4","T6","Sample","16s 18s","16s","-","-","738.4","-","4.8%","-","-","8243","1667","6576","42.08","2.604","-","-","-","-","-"
"","","","D4","T6","Sample","16s 18s","18s","-","-","29.40","-","22.8%","-","-","8264","74","8190","75.86","2.604","-","-","-","-","-"
