SampleID	Barcode	Read1Accepted	Read1Filtered	Read1PassedFrac	Read2Accepted	Read2Filtered	Read2PassedFrac
SMPL1		561	82	0.872	521	0	1
SMPL101		50	9	0.847	51	0	1
SMPL103		43	5	0.896	39	0	1
SMPL105		237	38	0.862	209	0	1
SMPL107		190	34	0.848	184	0	1
SMPL109		26	3	0.897	22	0	1
SMPL11		212	41	0.838	182	0	1
SMPL111		11	1	0.917	10	0	1
SMPL113		8	1	0.889	7	0	1
SMPL115		0	2	0	2	0	1
SMPL117		2	1	0.667	1	0	1
SMPL119		4	0	1	4	0	1
SMPL121		1130	232	0.83	1059	0	1
SMPL123		819	162	0.835	789	0	1
SMPL125		93	18	0.838	89	0	1
SMPL127		763	160	0.827	710	0	1
SMPL129		124	26	0.827	115	0	1
SMPL13		0	1	0	0	0	NA
SMPL131		122	27	0.819	114	0	1
SMPL133		227	33	0.873	207	0	1
SMPL135		2	0	1	2	0	1
SMPL137		71	13	0.845	69	0	1
SMPL139		22	2	0.917	17	0	1
SMPL141		11	1	0.917	11	0	1
SMPL143		6	2	0.75	5	0	1
SMPL145		782	120	0.867	696	0	1
SMPL147		440	62	0.876	409	0	1
SMPL149		34	7	0.829	30	0	1
SMPL15		13	5	0.722	13	0	1
SMPL151		162	28	0.853	146	0	1
SMPL153		75	15	0.833	72	0	1
SMPL155		22	3	0.88	21	0	1
SMPL157		63	7	0.9	55	0	1
SMPL159		18	2	0.9	15	0	1
SMPL161		69	8	0.896	52	0	1
SMPL163		11	0	1	11	0	1
SMPL165		272	35	0.886	239	0	1
SMPL167		8	2	0.8	10	0	1
SMPL169		1405	206	0.872	1351	0	1
SMPL17		6	0	1	5	0	1
SMPL171		12439	1463	0.895	11782	0	1
SMPL173		92	11	0.893	91	0	1
SMPL175		666	83	0.889	645	0	1
SMPL177		3976	539	0.881	3626	0	1
SMPL179		518	50	0.912	477	0	1
SMPL181		249	34	0.88	219	0	1
SMPL183		868	96	0.9	791	0	1
SMPL185		104	19	0.846	93	0	1
SMPL187		32	2	0.941	26	0	1
