sdm 1.94 beta
Input File:  several
Output File: lotus2SLV138_humancontUganda/tmpFiles//demulti.1.fna

Reads processed: 135,927; 135,927 (pair 1;pair 2)
Rejected: 16,517; 25,251
Accepted (High qual): 119,410; 110,676 (2,449; 11,510 end-trimmed)
Accepted (Mid qual): 0;0
Singletons among these: 0; 0
Bad Reads recovered with dereplication: 3,039
Min/Avg/Max stats Pair 1
     - sequence Length : 170/170/170
     - Quality :   27/35.8/38
     - Median sequence Length : 0, Quality : 0
     - Accum. Error 0.068
Trimmed due to:
  > 25 avg qual_ in 20 bp windows :         0; 0
  > (0.75) acc. errors, trimmed seqs :     0; 0
Rejected due to:
  < min Sequence length (170)  :                11,294; 24,107
       -after Quality trimming :           11,294; 24,107
  < avg Quality (27)  :                    0; 0
  < window (50 nt) avg. Quality (25)  :    0; 0
  > max Sequence length (1000)  :               0; 0
  > (8) homo-nt run  :                     1,118; 1,144
  > (0) amb. Bases  :                      0; 0
  > (2.5) binomial est. errors :           4,105; 0
Specific sequence searches:
  -With fwd Primer remaining (<= 0 mismatches) :           0; 0
  -Barcode unidentified (max 0 errors) :                   0

SampleID	Barcode	Instances
SMPL1		561
SMPL101		50
SMPL103		43
SMPL105		237
SMPL107		190
SMPL109		26
SMPL11		212
SMPL111		11
SMPL113		8
SMPL115		0
SMPL117		2
SMPL119		4
SMPL121		1,130
SMPL123		819
SMPL125		93
SMPL127		763
SMPL129		124
SMPL13		0
SMPL131		122
SMPL133		227
SMPL135		2
SMPL137		71
SMPL139		22
SMPL141		11
SMPL143		6
SMPL145		782
SMPL147		440
SMPL149		34
SMPL15		13
SMPL151		162
SMPL153		75
SMPL155		22
SMPL157		63
SMPL159		18
SMPL161		69
SMPL163		11
SMPL165		272
SMPL167		8
SMPL169		1,405
SMPL17		6
SMPL171		12,439
SMPL173		92
SMPL175		666
SMPL177		3,976
SMPL179		518
SMPL181		249
SMPL183		868
SMPL185		104
SMPL187		32
SMPL189		25
SMPL19		40
SMPL191		226
SMPL193		163
SMPL195		196
SMPL197		80
SMPL199		25
SMPL201		99
SMPL203		133
SMPL205		3
SMPL207		3
SMPL209		655
SMPL21		1
SMPL211		72
SMPL213		65
SMPL215		12
SMPL217		138
SMPL219		139
SMPL221		1,000
SMPL223		2,025
SMPL225		6
SMPL227		11
SMPL229		0
SMPL23		12
SMPL231		367
SMPL233		108
SMPL235		16
SMPL237		318
SMPL239		1,161
SMPL241		177
SMPL243		5
SMPL245		17
SMPL247		21
SMPL249		725
SMPL25		19
SMPL251		6,246
SMPL253		21
SMPL255		7
SMPL257		1,070
SMPL259		10
SMPL261		3,028
SMPL263		691
SMPL265		58
SMPL267		346
SMPL269		16
SMPL27		2,525
SMPL271		515
SMPL273		2,226
SMPL275		1,849
SMPL277		727
SMPL279		138
SMPL281		67
SMPL283		3,188
SMPL285		2,584
SMPL287		228
SMPL289		6
SMPL29		174
SMPL291		82
SMPL293		8
SMPL295		137
SMPL297		7
SMPL299		4
SMPL3		76
SMPL301		7
SMPL303		7
SMPL305		25
SMPL307		23
SMPL309		213
SMPL31		244
SMPL311		73
SMPL313		94
SMPL315		380
SMPL317		634
SMPL319		62
SMPL321		119
SMPL323		11
SMPL325		130
SMPL327		155
SMPL329		20
SMPL33		65
SMPL331		176
SMPL333		868
SMPL335		12
SMPL337		194
SMPL339		23
SMPL341		512
SMPL343		405
SMPL345		1,095
SMPL347		92
SMPL349		22
SMPL35		53
SMPL351		1,173
SMPL353		575
SMPL355		95
SMPL357		160
SMPL359		96
SMPL361		13,202
SMPL363		663
SMPL365		213
SMPL367		1,072
SMPL369		23
SMPL37		127
SMPL371		272
SMPL373		21
SMPL375		386
SMPL377		33
SMPL379		295
SMPL381		548
SMPL383		66
SMPL385		348
SMPL387		4,042
SMPL389		2,737
SMPL39		249
SMPL391		1,055
SMPL393		217
SMPL395		495
SMPL397		2,731
SMPL399		5,570
SMPL41		261
SMPL43		7
SMPL45		50
SMPL47		330
SMPL49		71
SMPL5		5
SMPL51		107
SMPL53		484
SMPL55		61
SMPL57		1,014
SMPL59		12
SMPL61		584
SMPL63		10
SMPL65		770
SMPL67		2
SMPL69		432
SMPL7		130
SMPL71		25
SMPL73		355
SMPL75		103
SMPL77		169
SMPL79		2,991
SMPL81		9,601
SMPL83		179
SMPL85		7
SMPL87		800
SMPL89		71
SMPL9		105
SMPL91		83
SMPL93		24
SMPL95		147
SMPL97		3
SMPL99		123
