#qual_	FilteredP1	FilteredP2	AddFilterP1	AddFilterP2	RawReadsP1	RawReadsP2
0	0	0	0	0	0	0
1	0	0	0	0	0	0
2	0	0	0	0	0	0
3	0	0	0	0	0	0
4	0	0	0	0	0	0
5	0	0	0	0	0	0
6	0	0	0	0	0	0
7	0	0	0	0	0	0
8	0	0	0	0	0	0
9	0	0	0	0	0	0
10	0	0	0	0	0	0
11	0	0	0	0	0	0
12	0	0	0	0	0	9
13	0	0	0	0	0	29
14	0	0	0	0	0	81
15	0	0	0	0	0	152
16	0	0	0	0	1	231
17	0	0	0	0	5	390
18	0	0	0	0	21	541
19	0	0	0	0	44	762
20	0	0	0	0	123	1010
21	0	0	0	0	239	1339
22	0	0	0	0	269	1372
23	0	0	0	0	253	1771
24	0	1	0	0	353	2128
25	0	27	0	0	511	2521
26	0	167	0	0	759	3089
27	9	779	0	0	1089	3858
28	30	2458	0	0	1552	5326
29	119	4455	0	0	2090	6271
30	497	7013	0	0	2765	8009
31	1349	9632	0	0	3593	10055
32	2721	12444	0	0	4434	12638
33	4697	15297	0	0	5629	15471
34	7534	17899	0	0	8019	18045
35	11416	19330	0	0	11797	19487
36	20082	15492	0	0	20573	15611
37	45882	5605	0	0	46575	5654
38	25074	77	0	0	25233	77
