SampleID	Barcode	Read1Accepted	Read1Filtered	Read1PassedFrac	Read2Accepted	Read2Filtered	Read2PassedFrac
Sample_341F-785R-P01-A01-1_hgrm		63852	26661	0.705	56368	0	1
Sample_341F-785R-P01-A02-11_hgrm		77929	33628	0.699	66730	0	1
Sample_341F-785R-P01-A03-24_hgrm		47425	16975	0.736	41648	0	1
Sample_341F-785R-P01-A04-42_hgrm		26761	11264	0.704	23338	0	1
Sample_341F-785R-P01-A05-55_hgrm		50733	22309	0.695	44275	0	1
Sample_341F-785R-P01-A06-73_hgrm		59280	20802	0.74	52851	0	1
Sample_341F-785R-P01-B01-2_hgrm		72062	25425	0.739	62459	0	1
Sample_341F-785R-P01-B02-12_hgrm		52650	18203	0.743	45375	0	1
Sample_341F-785R-P01-B03-25_hgrm		9668	3548	0.732	8449	0	1
Sample_341F-785R-P01-B04-43_hgrm		22015	8162	0.73	19539	0	1
Sample_341F-785R-P01-B05-61_hgrm		50362	17650	0.74	44291	0	1
Sample_341F-785R-P01-B06-74_hgrm		80468	33045	0.709	68139	0	1
Sample_341F-785R-P01-C01-3_hgrm		63161	21221	0.749	54751	0	1
Sample_341F-785R-P01-C02-13_hgrm		48046	16788	0.741	41512	0	1
Sample_341F-785R-P01-C03-31_hgrm		27184	8943	0.752	24014	0	1
Sample_341F-785R-P01-C04-44_hgrm		25164	9156	0.733	22325	0	1
Sample_341F-785R-P01-C05-62_hgrm		43593	15161	0.742	38287	0	1
Sample_341F-785R-P01-C06-75_hgrm		65729	26445	0.713	55487	0	1
Sample_341F-785R-P01-D01-4_hgrm		27961	9395	0.749	24356	0	1
Sample_341F-785R-P01-D02-14_hgrm		36228	12268	0.747	30893	0	1
Sample_341F-785R-P01-D03-32_hgrm		43801	13917	0.759	37836	0	1
Sample_341F-785R-P01-D04-45_hgrm		19097	6319	0.751	16977	0	1
Sample_341F-785R-P01-D05-63_hgrm		35630	12057	0.747	30856	0	1
Sample_341F-785R-P01-D06-81_hgrm		265	1005	0.209	461	0	1
Sample_341F-785R-P01-E01-5_hgrm		46171	18372	0.715	38779	0	1
Sample_341F-785R-P01-E02-15_hgrm		73037	28678	0.718	60216	0	1
Sample_341F-785R-P01-E03-33_hgrm		44140	16937	0.723	36550	0	1
Sample_341F-785R-P01-E04-51_hgrm		54039	21258	0.718	46361	0	1
Sample_341F-785R-P01-E05-64_hgrm		70618	28553	0.712	59628	0	1
Sample_341F-785R-P01-E06-82_hgrm		333	189	0.638	298	0	1
Sample_341F-785R-P01-F01-6_hgrm		16067	5460	0.746	13629	0	1
Sample_341F-785R-P01-F02-21_hgrm		49983	17146	0.745	42187	0	1
Sample_341F-785R-P01-F03-34_hgrm		41917	14736	0.74	36054	0	1
Sample_341F-785R-P01-F04-52_hgrm		14470	5045	0.741	12618	0	1
Sample_341F-785R-P01-F05-65_hgrm		34556	12065	0.741	29799	0	1
Sample_341F-785R-P01-G01-7_hgrm		65669	22944	0.741	55877	0	1
Sample_341F-785R-P01-G02-22_hgrm		84606	27787	0.753	73045	0	1
Sample_341F-785R-P01-G03-35_hgrm		28696	9699	0.747	25044	0	1
Sample_341F-785R-P01-G04-53_hgrm		43485	15243	0.74	37717	0	1
Sample_341F-785R-P01-G05-71_hgrm		100891	33626	0.75	88375	0	1
Sample_341F-785R-P01-H01-8_hgrm		73168	24491	0.749	62297	0	1
Sample_341F-785R-P01-H02-23_hgrm		79843	27587	0.743	67654	0	1
Sample_341F-785R-P01-H03-41_hgrm		15398	5269	0.745	13375	0	1
Sample_341F-785R-P01-H04-54_hgrm		45978	15266	0.751	39871	0	1
Sample_341F-785R-P01-H05-72_hgrm		89559	30739	0.744	77447	0	1
