#qual_	FilteredP1	FilteredP2	AddFilterP1	AddFilterP2	RawReadsP1	RawReadsP2
12	0	0	0	0	0	7
13	0	0	0	0	0	102
14	0	0	0	0	14	526
15	0	0	0	0	72	1715
16	0	0	0	0	281	4511
17	0	0	0	0	477	8326
18	0	0	0	0	715	12348
19	0	0	0	0	1116	15773
20	0	0	0	0	1476	19809
21	0	0	0	0	2012	23664
22	0	0	0	0	3098	28466
23	0	0	0	0	4402	33670
24	0	0	0	0	6379	39321
25	0	0	0	0	8988	46334
26	0	11	0	0	12197	54303
27	0	1071	0	0	16532	65518
28	0	12337	0	1	21748	80263
29	0	50774	0	1	28266	101452
30	0	110138	0	0	36643	132260
31	0	170197	0	0	46938	176291
32	0	238440	0	0	61702	239663
33	0	318847	1	0	83917	319294
34	590	383636	152	0	120692	383985
35	24513	354837	329	0	198465	355145
36	262946	171806	1	0	395592	171934
37	974324	15943	0	0	981947	15976
38	296848	1	0	0	296989	2
