Order	Sample_341F-785R-P01-A01-1_hgrm	Sample_341F-785R-P01-A02-11_hgrm	Sample_341F-785R-P01-A03-24_hgrm	Sample_341F-785R-P01-A04-42_hgrm	Sample_341F-785R-P01-A05-55_hgrm	Sample_341F-785R-P01-A06-73_hgrm	Sample_341F-785R-P01-B01-2_hgrm	Sample_341F-785R-P01-B02-12_hgrm	Sample_341F-785R-P01-B03-25_hgrm	Sample_341F-785R-P01-B04-43_hgrm	Sample_341F-785R-P01-B05-61_hgrm	Sample_341F-785R-P01-B06-74_hgrm	Sample_341F-785R-P01-C01-3_hgrm	Sample_341F-785R-P01-C02-13_hgrm	Sample_341F-785R-P01-C03-31_hgrm	Sample_341F-785R-P01-C04-44_hgrm	Sample_341F-785R-P01-C05-62_hgrm	Sample_341F-785R-P01-C06-75_hgrm	Sample_341F-785R-P01-D01-4_hgrm	Sample_341F-785R-P01-D02-14_hgrm	Sample_341F-785R-P01-D03-32_hgrm	Sample_341F-785R-P01-D04-45_hgrm	Sample_341F-785R-P01-D05-63_hgrm	Sample_341F-785R-P01-D06-81_hgrm	Sample_341F-785R-P01-E01-5_hgrm	Sample_341F-785R-P01-E02-15_hgrm	Sample_341F-785R-P01-E03-33_hgrm	Sample_341F-785R-P01-E04-51_hgrm	Sample_341F-785R-P01-E05-64_hgrm	Sample_341F-785R-P01-E06-82_hgrm	Sample_341F-785R-P01-F01-6_hgrm	Sample_341F-785R-P01-F02-21_hgrm	Sample_341F-785R-P01-F03-34_hgrm	Sample_341F-785R-P01-F04-52_hgrm	Sample_341F-785R-P01-F05-65_hgrm	Sample_341F-785R-P01-G01-7_hgrm	Sample_341F-785R-P01-G02-22_hgrm	Sample_341F-785R-P01-G03-35_hgrm	Sample_341F-785R-P01-G04-53_hgrm	Sample_341F-785R-P01-G05-71_hgrm	Sample_341F-785R-P01-H01-8_hgrm	Sample_341F-785R-P01-H02-23_hgrm	Sample_341F-785R-P01-H03-41_hgrm	Sample_341F-785R-P01-H04-54_hgrm	Sample_341F-785R-P01-H05-72_hgrm
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales	1	0	0	4	0	0	0	0	0	11	0	0	0	0	0	15	0	0	5	0	2	17	3	30	1	0	2	0	2	259	0	0	1	0	3	0	1	1	3	1	1	0	2	0	0
Bacteria;Firmicutes;Bacilli;?	0	1	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	1	2	2	1	2	0	1	2	0	0	4	0	1	0	2	3	4	1	0	1	3
Bacteria;Firmicutes;Bacilli;Bacillales	21886	26849	16992	8662	15966	18114	24801	17822	3413	6477	16260	26504	21023	16350	9017	6912	14115	21892	8609	11207	13574	5007	10430	2	15270	24208	14732	17473	22180	0	5480	17505	13459	4731	10733	21786	28666	8636	13304	33289	22947	24956	4452	13281	27452
Bacteria;Firmicutes;Bacilli;Lactobacillales	11009	13587	8041	4833	10302	11479	13084	9677	1720	4548	9658	14203	11431	8031	5499	5350	7779	11810	4610	6802	8439	3759	7078	3	8080	13150	7727	9760	14077	0	2934	8616	8561	2848	7100	12090	15886	4921	8783	19514	14023	14999	2824	10042	17433
Bacteria;Firmicutes;Bacilli;Paenibacillales	2	1	2	1	0	0	1	2	0	2	2	5	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	2	3	0	0	1	1
Bacteria;Firmicutes;Bacilli;Staphylococcales	1299	1598	1058	639	1625	1441	1469	1153	260	855	1166	1696	1468	1110	597	875	1154	1675	676	946	990	856	1043	1	961	1608	1019	1168	1817	5	371	1135	1090	380	1281	1591	2073	734	1466	2596	1644	1893	469	1514	2141
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	26578	32232	19123	11407	20326	24874	29027	21321	3818	8759	20468	34103	25868	20264	10631	10292	18256	27057	12700	15390	18269	8142	15041	3	19711	30671	18536	23047	28963	0	6419	20081	16673	5735	13468	26528	33570	11604	17408	39802	30405	33631	6766	18511	37201
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	2428	3030	1924	1139	2464	3001	2995	2267	426	1279	2450	3441	2803	2004	1248	1495	2183	2964	1152	1689	2210	1177	1928	0	1810	3033	1861	2274	3348	1	702	2199	1930	701	1941	3021	3692	1209	2399	4770	3322	3781	707	2515	4616
noHit;	0	0	0	4	2	2	14	1	0	36	0	1	4	0	0	125	0	0	56	1	0	74	4	120	1	0	0	0	5	0	1	0	6	2	3	1	0	0	17	0	2	9	79	28	11
