SampleID	Barcode	Read1Accepted	Read1Filtered	Read1PassedFrac	Read2Accepted	Read2Filtered	Read2PassedFrac
341F-785R-P01-A01-1		63852	26661	0.705	56368	0	1
341F-785R-P01-A02-11		77930	33628	0.699	66730	0	1
341F-785R-P01-A03-24		47427	16975	0.736	41650	0	1
341F-785R-P01-A04-42		26871	11437	0.701	23526	0	1
341F-785R-P01-A05-55		50781	22389	0.694	44361	0	1
341F-785R-P01-A06-73		59289	20808	0.74	52864	0	1
341F-785R-P01-B01-2		72062	25427	0.739	62461	0	1
341F-785R-P01-B02-12		52650	18204	0.743	45376	0	1
341F-785R-P01-B03-25		9669	3552	0.731	8451	0	1
341F-785R-P01-B04-43		23303	10643	0.686	21633	0	1
341F-785R-P01-B05-61		50414	17734	0.74	44386	0	1
341F-785R-P01-B06-74		80468	33045	0.709	68139	0	1
341F-785R-P01-C01-3		63182	21236	0.748	54771	0	1
341F-785R-P01-C02-13		48046	16788	0.741	41512	0	1
341F-785R-P01-C03-31		27190	8952	0.752	24023	0	1
341F-785R-P01-C04-44		29438	13704	0.682	27230	0	1
341F-785R-P01-C05-62		43597	15167	0.742	38293	0	1
341F-785R-P01-C06-75		65729	26445	0.713	55488	0	1
341F-785R-P01-D01-4		31288	11884	0.725	27651	0	1
341F-785R-P01-D02-14		36228	12268	0.747	30893	0	1
341F-785R-P01-D03-32		43805	13920	0.759	37840	0	1
341F-785R-P01-D04-45		21908	8778	0.714	19878	0	1
341F-785R-P01-D05-63		35807	12208	0.746	31041	0	1
341F-785R-P01-D06-81		4943	7113	0.41	5652	0	1
341F-785R-P01-E01-5		46197	18384	0.715	38802	0	1
341F-785R-P01-E02-15		73037	28678	0.718	60216	0	1
341F-785R-P01-E03-33		44140	16939	0.723	36552	0	1
341F-785R-P01-E04-51		54073	21284	0.718	46402	0	1
341F-785R-P01-E05-64		70639	28577	0.712	59653	0	1
341F-785R-P01-E06-82		334	189	0.639	298	0	1
341F-785R-P01-F01-6		16072	5465	0.746	13634	0	1
341F-785R-P01-F02-21		49984	17146	0.745	42187	0	1
341F-785R-P01-F03-34		41945	14779	0.739	36095	0	1
341F-785R-P01-F04-52		14511	5114	0.739	12662	0	1
341F-785R-P01-F05-65		34770	12357	0.738	30033	0	1
341F-785R-P01-G01-7		65674	22948	0.741	55883	0	1
341F-785R-P01-G02-22		84607	27787	0.753	73046	0	1
341F-785R-P01-G03-35		28700	9702	0.747	25048	0	1
341F-785R-P01-G04-53		44149	15934	0.735	38415	0	1
341F-785R-P01-G05-71		100893	33630	0.75	88378	0	1
341F-785R-P01-H01-8		73168	24491	0.749	62297	0	1
341F-785R-P01-H02-23		79844	27589	0.743	67654	0	1
341F-785R-P01-H03-41		19001	7621	0.714	17001	0	1
341F-785R-P01-H04-54		46847	15888	0.747	40745	0	1
341F-785R-P01-H05-72		89561	30741	0.744	77451	0	1
