Genus	341F-785R-P01-A01-1	341F-785R-P01-A02-11	341F-785R-P01-A03-24	341F-785R-P01-A04-42	341F-785R-P01-A05-55	341F-785R-P01-A06-73	341F-785R-P01-B01-2	341F-785R-P01-B02-12	341F-785R-P01-B03-25	341F-785R-P01-B04-43	341F-785R-P01-B05-61	341F-785R-P01-B06-74	341F-785R-P01-C01-3	341F-785R-P01-C02-13	341F-785R-P01-C03-31	341F-785R-P01-C04-44	341F-785R-P01-C05-62	341F-785R-P01-C06-75	341F-785R-P01-D01-4	341F-785R-P01-D02-14	341F-785R-P01-D03-32	341F-785R-P01-D04-45	341F-785R-P01-D05-63	341F-785R-P01-D06-81	341F-785R-P01-E01-5	341F-785R-P01-E02-15	341F-785R-P01-E03-33	341F-785R-P01-E04-51	341F-785R-P01-E05-64	341F-785R-P01-E06-82	341F-785R-P01-F01-6	341F-785R-P01-F02-21	341F-785R-P01-F03-34	341F-785R-P01-F04-52	341F-785R-P01-F05-65	341F-785R-P01-G01-7	341F-785R-P01-G02-22	341F-785R-P01-G03-35	341F-785R-P01-G04-53	341F-785R-P01-G05-71	341F-785R-P01-H01-8	341F-785R-P01-H02-23	341F-785R-P01-H03-41	341F-785R-P01-H04-54	341F-785R-P01-H05-72
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium	1	0	0	4	0	0	0	0	0	11	0	0	0	0	0	15	0	0	5	0	2	17	3	30	1	0	2	0	2	259	0	0	1	0	3	0	1	1	3	1	1	0	2	0	0
Bacteria;Firmicutes;Bacilli;?;?;?	0	1	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	1	2	2	1	2	0	1	2	0	0	4	0	1	0	2	3	4	1	0	1	3
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	21893	26864	16996	8662	15965	18122	24814	17816	3413	6478	16263	26510	21030	16357	9020	6912	14119	21892	8611	11209	13590	5007	10431	2	15277	24220	14733	17475	22182	0	5477	17509	13459	4731	10732	21786	28682	8642	13303	33297	22939	24972	4452	13282	27462
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	2949	3698	2217	1362	2733	3054	3407	2544	427	1296	2403	3829	3004	2499	1266	1447	2257	3511	1403	1801	2235	1170	1745	2	2273	3493	2298	2628	3491	0	763	2517	2101	715	1973	3326	4407	1510	2400	5204	3612	3989	768	2517	4568
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	5413	6683	3841	2238	5107	5816	6674	5051	848	2073	5136	7116	5919	3393	3058	2487	3553	5320	2053	3428	4269	1491	3642	1	3916	6663	3557	4833	7371	0	1511	3893	4650	1508	3262	6023	7760	2048	4336	9707	7310	7543	1336	5317	8920
Bacteria;Firmicutes;Bacilli;Lactobacillales;Listeriaceae;Listeria	2653	3207	1983	1233	2462	2609	3004	2082	445	1179	2120	3259	2507	2139	1175	1416	1969	2979	1154	1573	1935	1098	1691	0	1893	2994	1872	2299	3215	0	661	2208	1810	625	1865	2743	3719	1235	2048	4603	3104	3468	720	2208	3948
Bacteria;Firmicutes;Bacilli;Lactobacillales;Vagococcaceae;Vagococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;?	2	1	2	1	0	0	1	2	0	2	2	5	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	2	3	0	0	1	1
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;?	690	813	524	314	767	739	808	611	127	425	587	893	763	582	303	458	603	816	339	461	510	419	485	1	473	818	526	601	854	3	192	585	543	207	637	800	1064	357	721	1364	830	877	231	754	1028
Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus	610	785	534	325	858	702	661	542	133	430	579	805	704	528	294	417	551	859	337	485	480	437	558	0	488	791	493	567	963	2	179	550	547	173	645	791	1009	376	746	1234	814	1016	238	760	1113
