Order	341F-785R-P01-A01-1	341F-785R-P01-A02-11	341F-785R-P01-A03-24	341F-785R-P01-A04-42	341F-785R-P01-A05-55	341F-785R-P01-A06-73	341F-785R-P01-B01-2	341F-785R-P01-B02-12	341F-785R-P01-B03-25	341F-785R-P01-B04-43	341F-785R-P01-B05-61	341F-785R-P01-B06-74	341F-785R-P01-C01-3	341F-785R-P01-C02-13	341F-785R-P01-C03-31	341F-785R-P01-C04-44	341F-785R-P01-C05-62	341F-785R-P01-C06-75	341F-785R-P01-D01-4	341F-785R-P01-D02-14	341F-785R-P01-D03-32	341F-785R-P01-D04-45	341F-785R-P01-D05-63	341F-785R-P01-D06-81	341F-785R-P01-E01-5	341F-785R-P01-E02-15	341F-785R-P01-E03-33	341F-785R-P01-E04-51	341F-785R-P01-E05-64	341F-785R-P01-E06-82	341F-785R-P01-F01-6	341F-785R-P01-F02-21	341F-785R-P01-F03-34	341F-785R-P01-F04-52	341F-785R-P01-F05-65	341F-785R-P01-G01-7	341F-785R-P01-G02-22	341F-785R-P01-G03-35	341F-785R-P01-G04-53	341F-785R-P01-G05-71	341F-785R-P01-H01-8	341F-785R-P01-H02-23	341F-785R-P01-H03-41	341F-785R-P01-H04-54	341F-785R-P01-H05-72
Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales	1	0	0	4	0	0	0	0	0	11	0	0	0	0	0	15	0	0	5	0	2	17	3	30	1	0	2	0	2	259	0	0	1	0	3	0	1	1	3	1	1	0	2	0	0
Bacteria;Firmicutes;Bacilli;?	0	1	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	1	1	2	0	0	1	0	1	2	2	1	2	0	1	2	0	0	4	0	1	0	2	3	4	1	0	1	3
Bacteria;Firmicutes;Bacilli;Bacillales	21893	26864	16996	8662	15965	18122	24814	17816	3413	6478	16263	26510	21030	16357	9020	6912	14119	21892	8611	11209	13590	5007	10431	2	15277	24220	14733	17475	22182	0	5477	17509	13459	4731	10732	21786	28682	8642	13303	33297	22939	24972	4452	13282	27462
Bacteria;Firmicutes;Bacilli;Lactobacillales	11015	13588	8041	4833	10302	11479	13085	9677	1720	4548	9659	14204	11430	8031	5499	5350	7779	11810	4610	6802	8439	3759	7078	3	8082	13150	7727	9760	14077	0	2935	8618	8561	2848	7100	12092	15886	4921	8784	19514	14026	15000	2824	10042	17436
Bacteria;Firmicutes;Bacilli;Paenibacillales	2	1	2	1	0	0	1	2	0	2	2	5	1	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	0	2	3	0	0	1	1
Bacteria;Firmicutes;Bacilli;Staphylococcales	1300	1598	1058	639	1625	1441	1469	1153	260	855	1166	1698	1467	1110	597	875	1154	1675	676	946	990	856	1043	1	961	1609	1019	1168	1817	5	371	1135	1090	380	1282	1591	2073	733	1467	2598	1644	1893	469	1514	2141
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	26576	32231	19123	11407	20325	24873	29026	21321	3818	8759	20467	34102	25866	20264	10631	10292	18256	27055	12698	15389	18269	8142	15041	3	19709	30670	18535	23047	28963	0	6420	20077	16673	5735	13468	26522	33568	11604	17408	39800	30406	33630	6766	18510	37197
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	2422	3022	1921	1138	2463	2996	2990	2262	426	1279	2445	3434	2797	2002	1248	1495	2179	2964	1152	1686	2202	1177	1927	0	1805	3025	1858	2270	3343	1	700	2197	1929	698	1941	3016	3687	1207	2399	4761	3314	3776	707	2515	4605
noHit;	0	0	1	79	26	9	14	1	1	1026	34	1	19	0	2	3603	3	1	2960	1	4	2349	145	4418	13	0	0	21	22	0	5	0	26	37	179	4	1	3	570	2	2	10	3147	703	12
