#qual_	FilteredP1	FilteredP2	AddFilterP1	AddFilterP2	RawReadsP1	RawReadsP2
12	0	0	0	0	0	8
13	0	0	0	0	0	109
14	0	0	0	0	14	551
15	0	0	0	0	72	1765
16	0	0	0	0	283	4594
17	0	0	0	0	477	8489
18	0	0	0	0	726	12590
19	0	0	0	0	1148	16136
20	0	0	0	0	1550	20265
21	0	0	0	0	2126	24282
22	0	0	0	0	3259	29165
23	0	0	0	0	4605	34486
24	0	0	0	0	6675	40355
25	0	0	0	0	9355	47574
26	0	12	0	0	12746	55731
27	0	1095	0	0	17239	67223
28	0	12574	0	1	22661	82429
29	0	51865	0	1	29400	104091
30	0	112645	0	0	38032	135516
31	0	173838	0	0	48668	180182
32	0	242784	0	0	63822	244105
33	0	323553	1	0	86442	324065
34	598	387725	154	0	124075	388133
35	24957	357620	336	0	203094	357976
36	267062	172879	1	0	402375	173022
37	983512	16078	0	0	991336	16113
38	298619	1	0	0	298777	2
