variable	value	gen_raw_rel	gen_decont_rel	gen_decontLotus_rel	gen_rawDecontam_rel
noHit	99:1	0.00078%	0.00078%	0.000782%	0.00078%
noHit	90:10	0.00765%	0.00516%	0.005160%	0.00745%
noHit	1:99	9.19731%	0.29736%	0.005643%	6.90936%
noHit	10:90	0.53035%	0.02004%	0.003628%	0.41256%
noHit	75:25	0.00662%	0.00309%	0.002885%	0.00536%
noHit	25:75	0.17663%	0.00556%	0.001179%	0.13525%
noHit	50:50	0.02004%	0.00346%	0.002796%	0.01659%
noHit	pure_human	99.12497%	75.47170%	0.000000%	98.89362%
noHit	empty	0.00000%	0.00000%	0.000000%	0.00000%
noHit	pure bact	0.00276%	0.00276%	0.002765%	0.00276%
noHit	theoretical	NA	NA	NA	NA
